Provider ID	Hospital Name	Address	City	State	ZIP Code	Hospital Type	Hospital Ownership	Hospital overall rating	Mortality national comparison	Safety of care national comparison	Readmission national comparison	Effectiveness of care national comparison
10021	DALE MEDICAL CENTER	126 HOSPITAL AVE	OZARK	AL	36360	Acute Care Hospitals	Government - Hospital District or Authority	4	Same as the national average	Same as the national average	Same as the national average	Same as the national average
10022	CHEROKEE MEDICAL CENTER	400 NORTHWOOD DR	CENTRE	AL	35960	Acute Care Hospitals	Voluntary non-profit - Private	4	Same as the national average	Not Available	Same as the national average	Same as the national average
10023	BAPTIST MEDICAL CENTER SOUTH	2105 EAST SOUTH BOULEVARD	MONTGOMERY	AL	36116	Acute Care Hospitals	Government - Hospital District or Authority	3	Below the national average	Above the national average	Same as the national average	Same as the national average
10024	JACKSON HOSPITAL & CLINIC INC	1725 PINE STREET	MONTGOMERY	AL	36106	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Above the national average	Above the national average	Same as the national average
10029	EAST ALABAMA MEDICAL CENTER	2000 PEPPERELL PARKWAY	OPELIKA	AL	36801	Acute Care Hospitals	Government - Hospital District or Authority	4	Same as the national average	Above the national average	Above the national average	Same as the national average
10032	WEDOWEE HOSPITAL	209 NORTH MAIN STREET	WEDOWEE	AL	36278	Acute Care Hospitals	Government - Hospital District or Authority	4	Same as the national average	Not Available	Same as the national average	Same as the national average
10033	UNIVERSITY OF ALABAMA HOSPITAL	619 SOUTH 19TH STREET	BIRMINGHAM	AL	35233	Acute Care Hospitals	Government - State	3	Same as the national average	Above the national average	Below the national average	Same as the national average
10034	COMMUNITY HOSPITAL INC	805 FRIENDSHIP ROAD	TALLASSEE	AL	36078	Acute Care Hospitals	Voluntary non-profit - Private	4	Same as the national average	Not Available	Same as the national average	Same as the national average
10035	CULLMAN REGIONAL MEDICAL CENTER	1912 ALABAMA HIGHWAY 157	CULLMAN	AL	35058	Acute Care Hospitals	Government - Hospital District or Authority	3	Below the national average	Above the national average	Same as the national average	Same as the national average
10036	ANDALUSIA REGIONAL HOSPITAL	849 SOUTH THREE NOTCH STREET	ANDALUSIA	AL	36420	Acute Care Hospitals	Proprietary	3	Same as the national average	Below the national average	Below the national average	Same as the national average
10038	STRINGFELLOW MEMORIAL HOSPITAL	301 EAST 18TH ST	ANNISTON	AL	36201	Acute Care Hospitals	Proprietary	3	Same as the national average	Same as the national average	Same as the national average	Same as the national average
10039	HUNTSVILLE HOSPITAL	101 SIVLEY RD	HUNTSVILLE	AL	35801	Acute Care Hospitals	Government - Hospital District or Authority	3	Below the national average	Above the national average	Above the national average	Same as the national average
10040	GADSDEN REGIONAL MEDICAL CENTER	1007 GOODYEAR AVENUE	GADSDEN	AL	35903	Acute Care Hospitals	Proprietary	2	Same as the national average	Below the national average	Below the national average	Below the national average
10044	MARION REGIONAL MEDICAL CENTER	1256 MILITARY STREET SOUTH	HAMILTON	AL	35570	Acute Care Hospitals	Voluntary non-profit - Private	5	Same as the national average	Not Available	Same as the national average	Same as the national average
10045	FAYETTE MEDICAL CENTER	1653 TEMPLE AVENUE NORTH	FAYETTE	AL	35555	Acute Care Hospitals	Voluntary non-profit - Other	4	Same as the national average	Not Available	Same as the national average	Same as the national average
10046	RIVERVIEW REGIONAL MEDICAL CENTER	600 SOUTH THIRD STREET	GADSDEN	AL	35901	Acute Care Hospitals	Proprietary	3	Same as the national average	Above the national average	Same as the national average	Same as the national average
10047	GEORGIANA MEDICAL CENTER	515 N MIRANDA AVENUE	GEORGIANA	AL	36033	Acute Care Hospitals	Proprietary	3	Not Available	Not Available	Same as the national average	Same as the national average
10049	MEDICAL CENTER ENTERPRISE	400 N EDWARDS STREET	ENTERPRISE	AL	36330	Acute Care Hospitals	Proprietary	3	Below the national average	Same as the national average	Above the national average	Above the national average
10051	GREENE COUNTY HOSPITAL	509 WILSON AVENUE	EUTAW	AL	35462	Acute Care Hospitals	Government - Local	3	Same as the national average	Not Available	Same as the national average	Same as the national average
10052	LAKE MARTIN COMMUNITY HOSPITAL	201 MARIARDEN ROAD	DADEVILLE	AL	36853	Acute Care Hospitals	Proprietary	3	Same as the national average	Not Available	Same as the national average	Below the national average
10055	FLOWERS HOSPITAL	4370 WEST MAIN STREET	DOTHAN	AL	36305	Acute Care Hospitals	Proprietary	4	Below the national average	Above the national average	Above the national average	Same as the national average
10056	ST VINCENT'S BIRMINGHAM	810 ST VINCENT'S DRIVE	BIRMINGHAM	AL	35205	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Below the national average	Above the national average	Below the national average
10058	BIBB MEDICAL CENTER	208 PIERSON AVE	CENTREVILLE	AL	35042	Acute Care Hospitals	Government - Hospital District or Authority	Not Available	Not Available	Not Available	Not Available	Same as the national average
10059	LAWRENCE MEDICAL CENTER	202 HOSPITAL STREET	MOULTON	AL	35650	Acute Care Hospitals	Government - Hospital District or Authority	4	Same as the national average	Not Available	Same as the national average	Same as the national average
10061	HIGHLANDS MEDICAL CENTER	380 WOODS COVE ROAD	SCOTTSBORO	AL	35768	Acute Care Hospitals	Government - Hospital District or Authority	3	Same as the national average	Same as the national average	Same as the national average	Below the national average
10062	WIREGRASS MEDICAL CENTER	1200 W MAPLE AVENUE	GENEVA	AL	36340	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Not Available	Same as the national average	Below the national average
10065	RUSSELL HOSPITAL	3316 HIGHWAY 280	ALEXANDER CITY	AL	35010	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Below the national average	Same as the national average	Same as the national average
10069	MEDICAL CENTER BARBOUR	820 W WASHINGTON ST	EUFAULA	AL	36027	Acute Care Hospitals	Government - Hospital District or Authority	3	Same as the national average	Not Available	Same as the national average	Same as the national average
10073	CLAY COUNTY HOSPITAL	83825 HIGHWAY 9    P O BOX 1270	ASHLAND	AL	36251	Acute Care Hospitals	Government - Hospital District or Authority	3	Same as the national average	Not Available	Same as the national average	Below the national average
10078	NORTHEAST ALABAMA REGIONAL MEDICAL CENTER	400 EAST 10TH STREET	ANNISTON	AL	36207	Acute Care Hospitals	Government - Local	2	Same as the national average	Below the national average	Above the national average	Same as the national average
10079	ATHENS LIMESTONE HOSPITAL	700 WEST MARKET STREET	ATHENS	AL	35611	Acute Care Hospitals	Government - Hospital District or Authority	2	Same as the national average	Same as the national average	Below the national average	Same as the national average
10083	SOUTH BALDWIN REGIONAL MEDICAL CENTER	1613 NORTH MCKENZIE STREET	FOLEY	AL	36535	Acute Care Hospitals	Proprietary	3	Same as the national average	Below the national average	Same as the national average	Same as the national average
10085	DECATUR MORGAN HOSPITAL-DECATUR CAMPUS	1201 7TH STREET SE	DECATUR	AL	35601	Acute Care Hospitals	Government - Hospital District or Authority	2	Same as the national average	Below the national average	Above the national average	Below the national average
10086	NORTHWEST MEDICAL CENTER	1530 U S HIGHWAY 43	WINFIELD	AL	35594	Acute Care Hospitals	Proprietary	4	Same as the national average	Same as the national average	Same as the national average	Same as the national average
10087	UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER	2451 FILLINGIM STREET	MOBILE	AL	36617	Acute Care Hospitals	Government - State	3	Same as the national average	Same as the national average	Below the national average	Same as the national average
10089	WALKER BAPTIST MEDICAL CENTER	3400 HIGHWAY 78 EAST	JASPER	AL	35502	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Above the national average	Same as the national average	Same as the national average
10090	PROVIDENCE HOSPITAL	6801 AIRPORT BOULEVARD	MOBILE	AL	36608	Acute Care Hospitals	Voluntary non-profit - Church	2	Below the national average	Below the national average	Same as the national average	Same as the national average
10091	GROVE HILL MEMORIAL HOSPITAL	295 JACKSON HWY S	GROVE HILL	AL	36451	Acute Care Hospitals	Government - Hospital District or Authority	3	Same as the national average	Not Available	Same as the national average	Below the national average
10092	D C H REGIONAL MEDICAL CENTER	809 UNIVERSITY BOULEVARD EAST	TUSCALOOSA	AL	35401	Acute Care Hospitals	Government - Hospital District or Authority	2	Below the national average	Same as the national average	Below the national average	Same as the national average
10095	HALE COUNTY HOSPITAL	508 GREEN STREET	GREENSBORO	AL	36744	Acute Care Hospitals	Government - Local	Not Available	Not Available	Not Available	Not Available	Below the national average
10097	ELMORE COMMUNITY HOSPITAL	500 HOSPITAL DRIVE	WETUMPKA	AL	36092	Acute Care Hospitals	Government - State	3	Same as the national average	Not Available	Same as the national average	Same as the national average
10099	D W MCMILLAN MEMORIAL HOSPITAL	1301 BELLEVILLE AVENUE	BREWTON	AL	36426	Acute Care Hospitals	Government - Hospital District or Authority	2	Same as the national average	Not Available	Same as the national average	Same as the national average
10100	THOMAS HOSPITAL	750 MORPHY AVENUE	FAIRHOPE	AL	36532	Acute Care Hospitals	Government - Hospital District or Authority	4	Same as the national average	Same as the national average	Above the national average	Same as the national average
10101	CITIZENS BAPTIST MEDICAL CENTER	604 STONE AVENUE	TALLADEGA	AL	35161	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Not Available	Same as the national average	Same as the national average
10102	J PAUL JONES HOSPITAL	317 MCWILLIAMS AVENUE	CAMDEN	AL	36726	Acute Care Hospitals	Voluntary non-profit - Other	Not Available	Not Available	Not Available	Not Available	Same as the national average
10103	PRINCETON BAPTIST MEDICAL CENTER	701 PRINCETON AVENUE SOUTHWEST	BIRMINGHAM	AL	35211	Acute Care Hospitals	Voluntary non-profit - Church	3	Below the national average	Above the national average	Same as the national average	Same as the national average
10104	GRANDVIEW MEDICAL CENTER	3690 GRANDVIEW PARKWAY	BIRMINGHAM	AL	35243	Acute Care Hospitals	Proprietary	2	Below the national average	Below the national average	Same as the national average	Same as the national average
10108	PRATTVILLE BAPTIST HOSPITAL	124 S MEMORIAL DR	PRATTVILLE	AL	36067	Acute Care Hospitals	Government - Hospital District or Authority	4	Same as the national average	Same as the national average	Above the national average	Same as the national average
10109	PICKENS COUNTY MEDICAL CENTER	241 ROBERT K WILSON DRIVE	CARROLLTON	AL	35447	Acute Care Hospitals	Government - Hospital District or Authority	3	Same as the national average	Not Available	Same as the national average	Below the national average
10110	BULLOCK COUNTY HOSPITAL	102 WEST CONECUH AVENUE	UNION SPRINGS	AL	36089	Acute Care Hospitals	Proprietary	3	Same as the national average	Not Available	Same as the national average	Same as the national average
10112	BRYAN W. WHITFIELD MEMORIAL HOSPITAL	105 HIGHWAY 80 EAST	DEMOPOLIS	AL	36732	Acute Care Hospitals	Government - Hospital District or Authority	3	Same as the national average	Not Available	Same as the national average	Same as the national average
10113	MOBILE INFIRMARY MEDICAL CENTER	5 MOBILE INFIRMARY CIRCLE	MOBILE	AL	36652	Acute Care Hospitals	Voluntary non-profit - Private	2	Same as the national average	Below the national average	Below the national average	Same as the national average
10114	"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM"	995 9TH AVENUE SOUTHWEST	BESSEMER	AL	35021	Acute Care Hospitals	Government - Hospital District or Authority	3	Same as the national average	Same as the national average	Above the national average	Same as the national average
10118	VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS	1015 MEDICAL CENTER PARKWAY	SELMA	AL	36701	Acute Care Hospitals	Proprietary	3	Same as the national average	Above the national average	Same as the national average	Same as the national average
10120	MONROE COUNTY HOSPITAL	"2016 SOUTH ALABAMA AVENUE, BOX 886"	MONROEVILLE	AL	36460	Acute Care Hospitals	Government - Local	3	Same as the national average	Not Available	Same as the national average	Same as the national average
10125	LAKELAND COMMUNITY HOSPITAL	42024 HIGHWAY 195 E	HALEYVILLE	AL	35565	Acute Care Hospitals	Voluntary non-profit - Church	5	Above the national average	Not Available	Above the national average	Same as the national average
10126	TROY REGIONAL MEDICAL CENTER	1330 HIGHWAY 231 SOUTH	TROY	AL	36081	Acute Care Hospitals	Government - Federal	3	Same as the national average	Same as the national average	Same as the national average	Same as the national average
10128	JACKSON MEDICAL CENTER	220 HOSPITAL DRIVE	JACKSON	AL	36545	Acute Care Hospitals	Proprietary	3	Same as the national average	Not Available	Same as the national average	Same as the national average
10129	NORTH BALDWIN INFIRMARY	1815 HAND AVENUE	BAY MINETTE	AL	36507	Acute Care Hospitals	Voluntary non-profit - Private	2	Same as the national average	Not Available	Below the national average	Same as the national average
10130	ST VINCENT'S ST CLAIR	7063 VETERANS PARKWAY	PELL CITY	AL	35125	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Same as the national average	Below the national average	Same as the national average
10131	CRESTWOOD MEDICAL CENTER	ONE HOSPITAL DR SE	HUNTSVILLE	AL	35801	Acute Care Hospitals	Proprietary	3	Below the national average	Above the national average	Same as the national average	Same as the national average
10138	HILL HOSPITAL OF SUMTER COUNTY	751 DERBY DRIVE	YORK	AL	36925	Acute Care Hospitals	Voluntary non-profit - Other	Not Available	Not Available	Not Available	Not Available	Same as the national average
10139	BROOKWOOD MEDICAL CENTER	2010 BROOKWOOD MEDICAL CENTER DRIVE	BIRMINGHAM	AL	35209	Acute Care Hospitals	Proprietary	3	Same as the national average	Same as the national average	Same as the national average	Same as the national average
10144	SPRINGHILL MEMORIAL HOSPITAL	3719 DAUPHIN STREET	MOBILE	AL	36608	Acute Care Hospitals	Proprietary	2	Same as the national average	Below the national average	Same as the national average	Same as the national average
10146	RMC JACKSONVILLE	1701 SOUTH PELHAM ROAD	JACKSONVILLE	AL	36265	Acute Care Hospitals	Proprietary	3	Same as the national average	Not Available	Same as the national average	Same as the national average
10148	EVERGREEN MEDICAL CENTER	101 CRESTVIEW AVENUE	EVERGREEN	AL	36401	Acute Care Hospitals	Proprietary	3	Same as the national average	Not Available	Same as the national average	Same as the national average
10149	BAPTIST MEDICAL CENTER EAST	400 TAYLOR ROAD	MONTGOMERY	AL	36117	Acute Care Hospitals	Government - Hospital District or Authority	5	Same as the national average	Above the national average	Above the national average	Same as the national average
10150	L V STABLER MEMORIAL HOSPITAL	29 L V STABLER DRIVE	GREENVILLE	AL	36037	Acute Care Hospitals	Proprietary	3	Same as the national average	Same as the national average	Same as the national average	Same as the national average
10157	SHOALS HOSPITAL	201 WEST AVALON AVENUE	MUSCLE SHOALS	AL	35661	Acute Care Hospitals	Government - Hospital District or Authority	3	Same as the national average	Same as the national average	Same as the national average	Same as the national average
10158	RUSSELLVILLE HOSPITAL	15155 HIGHWAY 43	RUSSELLVILLE	AL	35653	Acute Care Hospitals	Proprietary	3	Same as the national average	Same as the national average	Below the national average	Same as the national average
10164	COOSA VALLEY MEDICAL CENTER	315 W HICKORY ST	SYLACAUGA	AL	35150	Acute Care Hospitals	Voluntary non-profit - Other	3	Same as the national average	Below the national average	Same as the national average	Same as the national average
10168	JACK HUGHSTON MEMORIAL HOSPITAL	4401 RIVER CHASE DRIVE	PHENIX CITY	AL	36867	Acute Care Hospitals	Government - State	4	Not Available	Above the national average	Same as the national average	Same as the national average
10169	ATMORE COMMUNITY HOSPITAL	401 MEDICAL PARK DRIVE	ATMORE	AL	36502	Acute Care Hospitals	Government - Hospital District or Authority	4	Same as the national average	Not Available	Same as the national average	Same as the national average
10172	NORTH ALABAMA SPECIALITY HOSPITAL	"700 WEST MARKET STREET, 2ND FLOOR"	ATHENS	AL	35611	Acute Care Hospitals	Proprietary	Not Available	Not Available	Not Available	Not Available	Not Available
11300	WASHINGTON COUNTY HOSPITAL	14600 ST. STEPHENS AVENUE	CHATOM	AL	36518	Critical Access Hospitals	Proprietary	Not Available	Not Available	Not Available	Not Available	Same as the national average
11302	RED BAY HOSPITAL	211 HOSPITAL ROAD	RED BAY	AL	35582	Critical Access Hospitals	Government - Hospital District or Authority	Not Available	Not Available	Not Available	Same as the national average	Not Available
11304	CHOCTAW GENERAL HOSPITAL	"401 VANITY FAIR LANE, PO BOX 618"	BUTLER	AL	36904	Critical Access Hospitals	Voluntary non-profit - Private	Not Available	Not Available	Not Available	Not Available	Not Available
11305	ST VINCENTS BLOUNT	150 GILBREATH DRIVE	ONEONTA	AL	35121	Critical Access Hospitals	Voluntary non-profit - Private	3	Same as the national average	Not Available	Same as the national average	Same as the national average
13300	CHILDREN'S HOSPITAL OF ALABAMA	1600 SEVENTH AVENUE SOUTH	BIRMINGHAM	AL	35233	Childrens	Voluntary non-profit - Private	Not Available	Not Available	Not Available	Not Available	Not Available
13301	UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS	1700 CENTER STREET	MOBILE	AL	36604	Childrens	Government - State	Not Available	Not Available	Not Available	Not Available	Not Available
20001	PROVIDENCE ALASKA MEDICAL CENTER	3200 PROVIDENCE DRIVE	ANCHORAGE	AK	99508	Acute Care Hospitals	Voluntary non-profit - Church	3	Same as the national average	Below the national average	Above the national average	Same as the national average
20006	MAT-SU REGIONAL MEDICAL CENTER	2500 SOUTH WOODWORTH LOOP	PALMER	AK	99645	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Same as the national average	Same as the national average	Same as the national average
20008	BARTLETT REGIONAL HOSPITAL	3260 HOSPITAL DR	JUNEAU	AK	99801	Acute Care Hospitals	Government - Local	3	Same as the national average	Same as the national average	Same as the national average	Same as the national average
20012	FAIRBANKS MEMORIAL HOSPITAL	1650 COWLES STREET	FAIRBANKS	AK	99701	Acute Care Hospitals	Voluntary non-profit - Other	3	Same as the national average	Below the national average	Above the national average	Same as the national average
20017	ALASKA REGIONAL HOSPITAL	2801 DEBARR ROAD	ANCHORAGE	AK	99508	Acute Care Hospitals	Proprietary	3	Same as the national average	Below the national average	Above the national average	Same as the national average
20018	YUKON KUSKOKWIM DELTA REG HOSPITAL	PO BOX 287	BETHEL	AK	99559	Acute Care Hospitals	Tribal	3	Same as the national average	Not Available	Same as the national average	Not Available
20026	ALASKA NATIVE MEDICAL CENTER	4315 DIPLOMACY DR	ANCHORAGE	AK	99508	Acute Care Hospitals	Government - Federal	2	Same as the national average	Below the national average	Same as the national average	Below the national average
21303	SITKA COMMUNITY HOSPITAL	209 MOLLER DRIVE	SITKA	AK	99835	Critical Access Hospitals	Government - Local	Not Available	Not Available	Not Available	Not Available	Not Available
21306	PROVIDENCE KODIAK ISLAND MEDICAL CTR	1915 EAST REZANOF DRIVE	KODIAK	AK	99615	Critical Access Hospitals	Voluntary non-profit - Church	Not Available	Not Available	Not Available	Same as the national average	Not Available
21308	NORTON SOUND REGIONAL HOSPITAL	1000 GREG KRUSCHEK AVENUE (P O BOX 966)	NOME	AK	99762	Critical Access Hospitals	Tribal	Not Available	Not Available	Not Available	Not Available	Not Available
21309	KANAKANAK HOSPITAL	P O BOX 130	DILLINGHAM	AK	99576	Critical Access Hospitals	Voluntary non-profit - Private	Not Available	Not Available	Not Available	Not Available	Not Available
21310	MANIILAQ HEALTH CENTER	PO BOX 43	KOTZEBUE	AK	99752	Critical Access Hospitals	Tribal	Not Available	Not Available	Not Available	Not Available	Not Available
21311	PEACEHEALTH KETCHIKAN MEDICAL CENTER	3100 TONGASS AVENUE	KETCHIKAN	AK	99901	Critical Access Hospitals	Voluntary non-profit - Church	3	Not Available	Not Available	Same as the national average	Same as the national average
21314	MT EDGECUMBE HOSPITAL	222 TONGASS DR	SITKA	AK	99835	Critical Access Hospitals	Voluntary non-profit - Private	Not Available	Not Available	Not Available	Not Available	Not Available
30001	ABRAZO MARYVALE CAMPUS	5102 WEST CAMPBELL AVENUE	PHOENIX	AZ	85031	Acute Care Hospitals	Proprietary	2	Same as the national average	Same as the national average	Same as the national average	Same as the national average
30002	BANNER - UNIVERSITY MEDICAL CENTER PHOENIX	1111 EAST MCDOWELL ROAD	PHOENIX	AZ	85006	Acute Care Hospitals	Voluntary non-profit - Other	3	Same as the national average	Same as the national average	Same as the national average	Same as the national average
30006	TUCSON MEDICAL CENTER	5301 EAST GRANT ROAD	TUCSON	AZ	85712	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Above the national average	Above the national average	Same as the national average
30007	VERDE VALLEY MEDICAL CENTER	269 SOUTH CANDY LANE	COTTONWOOD	AZ	86326	Acute Care Hospitals	Voluntary non-profit - Private	4	Same as the national average	Same as the national average	Above the national average	Same as the national average
30010	ST. MARY'S HOSPITAL	1601 WEST ST MARY'S ROAD	TUCSON	AZ	85745	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Above the national average	Above the national average	Above the national average
30011	ST JOSEPH'S HOSPITAL	350 NORTH WILMOT ROAD	TUCSON	AZ	85711	Acute Care Hospitals	Voluntary non-profit - Other	3	Below the national average	Above the national average	Above the national average	Same as the national average
30012	YAVAPAI REGIONAL MEDICAL CENTER	1003 WILLOW CREEK ROAD	PRESCOTT	AZ	86301	Acute Care Hospitals	Government - Local	2	Below the national average	Below the national average	Same as the national average	Same as the national average
30013	YUMA REGIONAL MEDICAL CENTER	2400 SOUTH AVENUE A	YUMA	AZ	85364	Acute Care Hospitals	Voluntary non-profit - Private	2	Same as the national average	Above the national average	Below the national average	Same as the national average
30014	JOHN C. LINCOLN MEDICAL CENTER	250 EAST DUNLAP AVENUE	PHOENIX	AZ	85020	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Same as the national average	Above the national average	Same as the national average
30016	BANNER CASA GRANDE MEDICAL CENTER	1800 EAST FLORENCE BOULEVARD	CASA GRANDE	AZ	85222	Acute Care Hospitals	Voluntary non-profit - Other	2	Same as the national average	Below the national average	Same as the national average	Same as the national average
30022	MARICOPA MEDICAL CENTER	2601 EAST ROOSEVELT STREET	PHOENIX	AZ	85008	Acute Care Hospitals	Government - Local	2	Not Available	Below the national average	Same as the national average	Same as the national average
30023	FLAGSTAFF MEDICAL CENTER	1200 NORTH BEAVER STREET	FLAGSTAFF	AZ	86001	Acute Care Hospitals	Voluntary non-profit - Private	4	Same as the national average	Below the national average	Above the national average	Same as the national average
30024	ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER	350 WEST THOMAS ROAD	PHOENIX	AZ	85013	Acute Care Hospitals	Voluntary non-profit - Church	3	Above the national average	Below the national average	Above the national average	Same as the national average
30030	ABRAZO CENTRAL CAMPUS	2000 WEST BETHANY HOME ROAD	PHOENIX	AZ	85015	Acute Care Hospitals	Proprietary	2	Same as the national average	Above the national average	Below the national average	Below the national average
30033	BANNER PAYSON MEDICAL CENTER	807 SOUTH PONDEROSA DRIVE	PAYSON	AZ	85541	Acute Care Hospitals	Voluntary non-profit - Other	3	Same as the national average	Same as the national average	Same as the national average	Same as the national average
30036	CHANDLER REGIONAL MEDICAL CENTER	1955 WEST FRYE ROAD	CHANDLER	AZ	85224	Acute Care Hospitals	Voluntary non-profit - Other	4	Above the national average	Below the national average	Above the national average	Same as the national average
30037	ST LUKE'S MEDICAL CENTER	1800 EAST VAN BUREN STREET	PHOENIX	AZ	85006	Acute Care Hospitals	Proprietary	3	Same as the national average	Above the national average	Above the national average	Same as the national average
30038	SCOTTSDALE OSBORN MEDICAL CENTER	7400 EAST OSBORN ROAD	SCOTTSDALE	AZ	85251	Acute Care Hospitals	Proprietary	3	Same as the national average	Below the national average	Same as the national average	Same as the national average
30043	CANYON VISTA MEDICAL CENTER	5700 EAST HIGHWAY 90	SIERRA VISTA	AZ	85635	Acute Care Hospitals	Voluntary non-profit - Other	1	Same as the national average	Below the national average	Same as the national average	Same as the national average
30055	KINGMAN REGIONAL MEDICAL CENTER	3269 STOCKTON HILL ROAD	KINGMAN	AZ	86409	Acute Care Hospitals	Government - Hospital District or Authority	2	Above the national average	Same as the national average	Below the national average	Same as the national average
30061	BANNER BOSWELL MEDICAL CENTER	10401 WEST THUNDERBIRD BOULEVARD	SUN CITY	AZ	85351	Acute Care Hospitals	Voluntary non-profit - Other	4	Same as the national average	Above the national average	Above the national average	Same as the national average
30062	SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER	2200 EAST SHOW LOW LAKE ROAD	SHOW LOW	AZ	85901	Acute Care Hospitals	Voluntary non-profit - Private	4	Same as the national average	Below the national average	Above the national average	Below the national average
30064	BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS	1501 NORTH CAMPBELL AVENUE	TUCSON	AZ	85724	Acute Care Hospitals	Voluntary non-profit - Private	1	Same as the national average	Below the national average	Below the national average	Same as the national average
30065	BANNER DESERT MEDICAL CENTER	1400 SOUTH  DOBSON ROAD	MESA	AZ	85202	Acute Care Hospitals	Voluntary non-profit - Private	3	Same as the national average	Above the national average	Below the national average	Same as the national average
30068	MT. GRAHAM REGIONAL MEDICAL CENTER	1600 SOUTH 20TH AVENUE	SAFFORD	AZ	85546	Acute Care Hospitals	Government - Hospital District or Authority	3	Same as the national average	Same as the national average	Same as the national average	Below the national average
30069	HAVASU REGIONAL MEDICAL CENTER	101 CIVIC CENTER LANE	LAKE HAVASU CITY	AZ	86403	Acute Care Hospitals	Proprietary	2	Same as the national average	Same as the national average	Below the national average	Same as the national average
30071	FORT DEFIANCE INDIAN HOSPITAL	PO BOX 649	FORT DEFIANCE	AZ	86504	Acute Care Hospitals	Government - Federal	Not Available	Not Available	Not Available	Same as the national average	Same as the national average
30073	TUBA CITY REGIONAL HEALTH CARE CORPORATION	PO BOX 600	TUBA CITY	AZ	86045	Acute Care Hospitals	Voluntary non-profit - Other	3	Not Available	Same as the national average	Same as the national average	Same as the national average
30074	SELLS HOSPITAL	"HIGHWAY 86, AT TOPAWA ROAD"	SELLS	AZ	85634	Acute Care Hospitals	Tribal	Not Available	Not Available	Not Available	Not Available	Not Available
30077	SAN CARLOS APACHE HEALTHCARE	103 MEDICINE WAY ROAD	PERIDOT	AZ	85542	Acute Care Hospitals	Government - Federal	Not Available	Not Available	Not Available	Not Available	Not Available
