DRG_Code,DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
313, CHEST PAIN,10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,AL - Birmingham,106,"15,449.91","4,235.13","3,169.47"
313, CHEST PAIN,10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,FL - Pensacola,22,"9,091.22","3,088.00","2,424.90"
313, CHEST PAIN,10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,AL - Birmingham,54,"20,074.90","3,489.40","1,886.66"
313, CHEST PAIN,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,AL - Huntsville,37,"21,093.72","3,927.16","2,612.94"
313, CHEST PAIN,10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,AL - Birmingham,31,"39,035.25","3,091.25","1,929.67"
313, CHEST PAIN,10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,AL - Birmingham,132,"23,769.85","3,237.47","2,020.91"
313, CHEST PAIN,10047,GEORGIANA HOSPITAL,515 MIRANDA ST,GEORGIANA,AL,36033,AL - Montgomery,12,"4,868.25","3,200.00","2,456.00"
313, CHEST PAIN,10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,AL - Dothan,25,"18,100.56","2,869.00","1,884.36"
313, CHEST PAIN,10052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,36853,AL - Birmingham,13,"4,308.61","3,697.00","2,923.15"
313, CHEST PAIN,10054,PARKWAY MEDICAL CENTER,1874 BELTLINE RD SW,DECATUR,AL,35601,AL - Huntsville,30,"23,505.03","3,350.40","2,084.36"
313, CHEST PAIN,10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,AL - Dothan,14,"17,560.85","2,890.14","1,850.42"
313, CHEST PAIN,10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,AL - Birmingham,68,"10,957.75","2,835.54","1,959.83"
313, CHEST PAIN,10065,RUSSELL HOSPITAL,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,AL - Birmingham,20,"6,935.45","3,160.00","2,319.00"
313, CHEST PAIN,10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,AL - Dothan,20,"7,216.70","3,386.00","2,543.40"
313, CHEST PAIN,10078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,AL - Birmingham,76,"14,627.35","2,964.63","2,063.32"
313, CHEST PAIN,10079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,AL - Huntsville,13,"7,006.38","3,292.07","2,859.15"
313, CHEST PAIN,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,AL - Mobile,28,"24,424.71","2,854.00","2,139.82"
313, CHEST PAIN,10085,DECATUR GENERAL HOSPITAL,1201 7TH STREET SE,DECATUR,AL,35609,AL - Huntsville,19,"8,700.78","3,259.94","1,990.68"
313, CHEST PAIN,10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,AL - Birmingham,31,"12,268.80","2,881.80","1,900.00"
313, CHEST PAIN,10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,AL - Birmingham,45,"15,938.66","3,145.00","2,219.93"
313, CHEST PAIN,10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,AL - Mobile,33,"11,746.90","3,762.51","1,846.15"
313, CHEST PAIN,10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,AL - Tuscaloosa,119,"12,790.15","3,492.17","2,484.10"
313, CHEST PAIN,10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,FL - Pensacola,59,"6,131.62","3,028.00","2,036.27"
313, CHEST PAIN,10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,AL - Mobile,28,"9,824.60","2,682.64","1,594.50"
313, CHEST PAIN,10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,AL - Birmingham,32,"11,883.65","3,682.78","2,703.15"
313, CHEST PAIN,10103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,AL - Birmingham,34,"13,602.91","3,516.38","2,382.05"
313, CHEST PAIN,10104,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,BIRMINGHAM,AL,35213,AL - Birmingham,28,"28,750.57","4,170.53","1,984.78"
313, CHEST PAIN,10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AL - Montgomery,18,"13,358.27","2,895.88","1,963.22"
313, CHEST PAIN,10112,BRYAN W WHITFIELD MEM HOSP INC,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,AL - Birmingham,49,"4,610.73","2,868.00","2,197.63"
313, CHEST PAIN,10113,MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,AL - Mobile,148,"13,840.50","3,079.27","2,074.87"
313, CHEST PAIN,10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,AL - Birmingham,38,"14,490.31","3,079.42","2,042.13"
313, CHEST PAIN,10118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,AL - Birmingham,53,"12,698.00","3,849.45","3,042.33"
313, CHEST PAIN,10120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,AL,36461,AL - Mobile,11,"10,512.09","3,111.00","2,293.54"
313, CHEST PAIN,10125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E     POST OFFICE BOX 780,HALEYVILLE,AL,35565,AL - Birmingham,18,"7,770.77","3,133.88","1,856.22"
313, CHEST PAIN,10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,AL - Huntsville,21,"22,905.23","2,889.28","1,966.52"
313, CHEST PAIN,10139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,AL - Birmingham,75,"33,436.72","2,827.34","1,855.34"
313, CHEST PAIN,10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,AL - Montgomery,62,"11,779.69","3,462.38","2,264.62"
313, CHEST PAIN,10150,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE,GREENVILLE,AL,36037,AL - Montgomery,17,"20,088.64","3,415.00","2,623.47"
313, CHEST PAIN,10152,INFIRMARY WEST,5600 GIRBY RD,MOBILE,AL,36693,AL - Mobile,15,"9,561.20","3,119.00","2,146.46"
313, CHEST PAIN,10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,AL - Birmingham,11,"10,494.45","3,077.00","2,253.72"
313, CHEST PAIN,10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,AL - Birmingham,38,"14,002.31","3,273.10","2,471.31"
313, CHEST PAIN,10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,36502,FL - Pensacola,13,"14,100.38","2,946.00","2,254.30"
313, CHEST PAIN,20001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,ANCHORAGE,AK,99519,AK - Anchorage,22,"21,674.04","4,717.04","3,848.13"
313, CHEST PAIN,20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,AK - Anchorage,26,"23,297.88","6,624.84","4,294.46"
313, CHEST PAIN,20012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,AK,99701,AK - Anchorage,12,"20,370.83","7,776.91","6,650.25"
313, CHEST PAIN,20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,AK - Anchorage,21,"9,672.19","6,921.00","6,117.00"
313, CHEST PAIN,30001,MARYVALE HOSPITAL,5102 WEST CAMPBELL AVENUE,PHOENIX,AZ,85031,AZ - Phoenix,14,"25,280.28","4,792.57","3,912.28"
313, CHEST PAIN,30002,BANNER GOOD SAMARITAN MEDICAL CENTER,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,AZ - Phoenix,107,"19,261.30","4,254.65","3,326.75"
313, CHEST PAIN,30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,85712,AZ - Tucson,49,"17,284.69","3,796.97","3,128.97"
313, CHEST PAIN,30010,CARONDELET ST  MARYS HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745,AZ - Tucson,35,"20,766.42","3,540.94","2,844.25"
313, CHEST PAIN,30011,CARONDELET ST JOSEPHS HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,85711,AZ - Tucson,52,"19,779.75","3,238.88","2,347.57"
313, CHEST PAIN,30012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,AZ,86301,AZ - Phoenix,20,"14,897.40","3,855.90","2,845.10"
313, CHEST PAIN,30013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,YUMA,AZ,85364,AZ - Phoenix,34,"12,019.26","3,812.67","2,885.79"
313, CHEST PAIN,30014,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,250 EAST DUNLAP AVENUE,PHOENIX,AZ,85020,AZ - Phoenix,24,"22,291.37","4,618.29","2,548.08"
313, CHEST PAIN,30016,CASA GRANDE REGIONAL MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,CASA GRANDE,AZ,85222,AZ - Phoenix,25,"13,770.20","3,776.20","2,877.00"
313, CHEST PAIN,30023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001,AZ - Phoenix,21,"29,439.47","5,768.42","4,824.90"
313, CHEST PAIN,30024,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,PHOENIX,AZ,85013,AZ - Phoenix,11,"28,653.72","4,931.45","4,119.81"
313, CHEST PAIN,30030,PHOENIX BAPTIST HOSPITAL,2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,85015,AZ - Phoenix,25,"19,408.24","4,150.40","3,218.52"
313, CHEST PAIN,30033,PAYSON REGIONAL MEDICAL CENTER,807 SOUTH PONDEROSA DRIVE,PAYSON,AZ,85541,AZ - Phoenix,19,"33,191.42","3,953.15","3,008.31"
313, CHEST PAIN,30037,ST LUKES MEDICAL CENTER,1800 EAST VAN BUREN STREET,PHOENIX,AZ,85006,AZ - Phoenix,28,"23,530.46","3,927.14","3,163.57"
313, CHEST PAIN,30038,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,85251,AZ - Phoenix,12,"28,544.08","4,100.66","2,365.50"
313, CHEST PAIN,30043,SIERRA VISTA REGIONAL HEALTH CENTER INC,300 EL CAMINO REAL,SIERRA VISTA,AZ,85635,AZ - Tucson,24,"18,572.33","4,355.75","3,607.75"
313, CHEST PAIN,30055,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,KINGMAN,AZ,86409,AZ - Phoenix,23,"18,259.78","4,250.56","2,997.73"
313, CHEST PAIN,30061,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,AZ,85351,AZ - Sun City,99,"19,512.54","3,249.86","2,370.43"
313, CHEST PAIN,30064,"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSIT, THE",1501 NORTH CAMPBELL AVENUE,TUCSON,AZ,85724,AZ - Tucson,26,"17,778.50","5,551.07","4,782.73"
313, CHEST PAIN,30065,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,MESA,AZ,85202,AZ - Mesa,108,"15,517.97","3,951.30","2,643.22"
313, CHEST PAIN,30069,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,LAKE HAVASU CIT,AZ,86403,AZ - Phoenix,36,"17,337.75","3,561.77","2,530.33"
313, CHEST PAIN,30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,AZ - Phoenix,11,"5,838.45","4,750.54","3,933.09"
313, CHEST PAIN,30083,PARADISE VALLEY HOSPITAL,3929 EAST BELL ROAD,PHOENIX,AZ,85032,AZ - Phoenix,12,"17,366.08","3,767.91","2,924.25"
313, CHEST PAIN,30085,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,TUCSON,AZ,85741,AZ - Tucson,22,"18,377.95","3,261.31","2,443.86"
313, CHEST PAIN,30088,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,MESA,AZ,85206,AZ - Mesa,34,"16,608.08","3,402.41","2,458.00"
313, CHEST PAIN,30089,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,GLENDALE,AZ,85306,AZ - Phoenix,115,"18,943.77","3,922.85","2,809.26"
313, CHEST PAIN,30092,JOHN C LINCOLN DEER VALLEY HOSPITAL,19829 NORTH 27TH AVENUE,PHOENIX,AZ,85027,AZ - Phoenix,23,"30,050.47","3,618.78","2,519.47"
313, CHEST PAIN,30093,BANNER DEL E WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,AZ,85375,AZ - Sun City,102,"20,167.28","3,390.81","2,364.93"
313, CHEST PAIN,30094,ARROWHEAD HOSPITAL,18701 NORTH 67TH AVENUE,GLENDALE,AZ,85308,AZ - Phoenix,18,"18,505.22","3,866.88","2,769.94"
313, CHEST PAIN,30100,CARONDELET HEART AND VASCULAR INSTITUTE,4888 NORTH STONE AVENUE,TUCSON,AZ,85704,AZ - Tucson,23,"20,740.26","3,002.00","2,075.21"
313, CHEST PAIN,30101,WESTERN ARIZONA REGIONAL MEDICAL CTR,2735 SILVER CREEK ROAD,BULLHEAD CITY,AZ,86442,NV - Las Vegas,89,"30,467.08","3,745.64","2,748.06"
313, CHEST PAIN,30105,BANNER HEART HOSPITAL,6750 EAST BAYWOOD AVENUE,MESA,AZ,85206,AZ - Mesa,95,"13,627.76","3,258.18","2,085.60"
313, CHEST PAIN,30110,WEST VALLEY HOSPITAL,13677 WEST MCDOWELL ROAD,GOODYEAR,AZ,85395,AZ - Phoenix,75,"15,729.61","4,048.61","2,620.65"
313, CHEST PAIN,30115,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,AZ,85037,AZ - Phoenix,94,"20,683.38","4,335.79","2,670.50"
313, CHEST PAIN,30117,VALLEY VIEW MEDICAL CENTER,5330 SOUTH HIGHWAY 95,FORT MOHAVE,AZ,86426,NV - Las Vegas,31,"18,549.67","3,631.12","2,512.06"
313, CHEST PAIN,30119,MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,GILBERT,AZ,85296,AZ - Mesa,12,"33,414.33","4,468.16","2,495.83"
313, CHEST PAIN,30120,GILBERT HOSPITAL,5656 SOUTH POWER ROAD,GILBERT,AZ,85295,AZ - Mesa,14,"21,174.14","3,463.35","2,661.64"
313, CHEST PAIN,30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",1301 SOUTH CRISMON ROAD,MESA,AZ,85209,AZ - Mesa,29,"23,006.41","3,711.41","2,665.20"
313, CHEST PAIN,30122,BANNER GATEWAY MEDICAL CENTER,1900 NORTH HIGLEY ROAD,GILBERT,AZ,85234,AZ - Mesa,49,"16,922.28","3,584.12","2,303.44"
313, CHEST PAIN,30128,HUALAPAI MOUNTAIN MEDICAL CENTER,3801 SANTA ROSA DRIVE,KINGMAN,AZ,86401,AZ - Phoenix,16,"17,534.18","3,010.00","1,886.62"
313, CHEST PAIN,40001,SILOAM SPRINGS MEMORIAL HOSPITAL,205 EAST JEFFERSON STREET,SILOAM SPRINGS,AR,72761,AR - Springdale,25,"8,830.28","3,457.00","2,506.96"
313, CHEST PAIN,40004,WASHINGTON REGIONAL MED CTR AT NORTH HILLS,3215 N NORTH HILLS BLVD,FAYETTEVILLE,AR,72703,AR - Springdale,31,"13,952.09","3,120.54","2,056.51"
313, CHEST PAIN,40007,ST VINCENT INFIRMARY MEDICAL CENTER,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,AR - Little Rock,93,"12,981.07","3,290.05","2,382.86"
313, CHEST PAIN,40010,MERCY MEDICAL CENTER,2710 RIFE MEDICAL LANE,ROGERS,AR,72758,AR - Springdale,23,"12,382.21","2,979.39","2,097.65"
313, CHEST PAIN,40011,"JOHN ED CHAMBERS MEM HOSP, INC",HIGHWAY 10 AT DETROIT STREET,DANVILLE,AR,72833,AR - Little Rock,25,"3,474.16","2,961.92","2,556.96"
313, CHEST PAIN,40014,WHITE COUNTY MEDICAL CENTER,3214 EAST RACE AVENUE,SEARCY,AR,72143,AR - Little Rock,104,"9,636.48","3,462.81","2,019.71"
313, CHEST PAIN,40016,UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET MAIL SLOT 612,LITTLE ROCK,AR,72205,AR - Little Rock,14,"13,519.92","4,152.35","3,330.42"
313, CHEST PAIN,40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,620 NORTH MAIN STREET,HARRISON,AR,72601,AR - Springdale,29,"12,261.75","3,272.37","2,332.00"
313, CHEST PAIN,40018,SUMMIT MEDICAL CENTER,EAST MAIN AND SOUTH 20TH STREET,VAN BUREN,AR,72956,AR - Fort Smith,19,"12,657.36","3,006.15","1,926.31"
313, CHEST PAIN,40020,ST BERNARDS MEDICAL CTR,225 E JACKSON,JONESBORO,AR,72401,AR - Jonesboro,72,"6,049.04","3,442.72","2,410.47"
313, CHEST PAIN,40022,"NW ARKANSAS HOSPITALS, LLC",609 WEST MAPLE AVENUE,SPRINGDALE,AR,72764,AR - Springdale,44,"21,729.36","3,278.45","2,174.68"
313, CHEST PAIN,40026,ST JOSEPHS MERCY HEALTH CENTER INC,300 WERNER STREET,HOT SPRINGS,AR,71903,AR - Little Rock,22,"16,783.50","3,119.45","2,199.09"
313, CHEST PAIN,40027,BAXTER REGIONAL MEDICAL CENTER,624 HOSPITAL DRIVE,MOUNTAIN HOME,AR,72653,MO - Springfield,95,"7,712.82","2,958.61","1,955.27"
313, CHEST PAIN,40029,CONWAY REGIONAL MEDICAL CENTER,2302 COLLEGE AVENUE,CONWAY,AR,72034,AR - Little Rock,13,"6,996.84","3,037.92","2,087.46"
313, CHEST PAIN,40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,3333 SPRINGHILL DRIVE,NORTH LITTLE RO,AR,72117,AR - Little Rock,21,"10,970.47","3,239.71","2,354.14"
313, CHEST PAIN,40039,ARKANSAS METHODIST MEDICAL CENTER,900 WEST KINGSHIGHWAY,PARAGOULD,AR,72450,AR - Jonesboro,25,"7,402.52","3,161.20","2,230.28"
313, CHEST PAIN,40041,ST MARYS REGIONAL MEDICAL CENTER,1808 WEST MAIN STREET,RUSSELLVILLE,AR,72801,AR - Little Rock,55,"15,132.54","3,301.25","2,308.34"
313, CHEST PAIN,40042,CRITTENDEN MEMORIAL HOSPITAL,200 TYLER,WEST MEMPHIS,AR,72301,TN - Memphis,16,"13,600.68","3,961.75","2,977.25"
313, CHEST PAIN,40047,FIVE RIVERS MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,POCAHONTAS,AR,72455,AR - Jonesboro,12,"6,161.66","3,389.00","2,459.00"
313, CHEST PAIN,40055,SPARKS REGIONAL MEDICAL CENTER,1001 TOWSON AVENUE,FORT SMITH,AR,72901,AR - Fort Smith,114,"9,894.56","3,160.87","2,202.57"
313, CHEST PAIN,40062,ST EDWARD MERCY MEDICAL CENTER,7301 ROGERS AVE,FORT SMITH,AR,72917,AR - Fort Smith,60,"11,856.85","2,932.76","1,826.80"
313, CHEST PAIN,40078,NATIONAL PARK MEDICAL CENTER,1910 MALVERN AVENUE,HOT SPRINGS,AR,71901,AR - Little Rock,24,"23,123.37","3,310.75","2,608.58"
313, CHEST PAIN,40080,HARRIS HOSPITAL,1205 MCLAIN STREET,NEWPORT,AR,72112,AR - Little Rock,21,"21,098.90","3,133.00","2,273.57"
313, CHEST PAIN,40084,SALINE MEMORIAL HOSPITAL,#1 MEDICAL PARK DRIVE,BENTON,AR,72015,AR - Little Rock,12,"13,316.66","2,995.00","2,051.66"
313, CHEST PAIN,40088,MEDICAL CENTER SOUTH ARKANSAS,700 WEST GROVE STREET,EL DORADO,AR,71731,AR - Little Rock,49,"16,517.10","3,317.36","2,268.71"
313, CHEST PAIN,40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,"9601 INTERSTATE 630, EXIT 7",LITTLE ROCK,AR,72205,AR - Little Rock,73,"11,881.93","3,191.95","2,208.01"
313, CHEST PAIN,40118,NEA BAPTIST MEMORIAL HOSPITAL,3024 STADIUM BOULEVARD,JONESBORO,AR,72401,AR - Jonesboro,44,"12,731.36","3,108.29","2,034.86"
313, CHEST PAIN,40119,WHITE RIVER MEDICAL CENTER,1710 HARRISON STREET,BATESVILLE,AR,72503,AR - Little Rock,16,"14,793.12","3,432.06","2,272.68"
313, CHEST PAIN,40134,ARKANSAS HEART HOSPITAL,1701 S SHACKLEFORD ROAD,LITTLE ROCK,AR,72211,AR - Little Rock,38,"10,465.10","2,845.78","2,069.94"
313, CHEST PAIN,40137,ST VINCENT MEDICAL CENTER/NORTH,2215 WILDWOOD AVENUE,SHERWOOD,AR,72120,AR - Little Rock,15,"11,996.73","3,060.33","1,945.20"
313, CHEST PAIN,50002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,CA - Alameda County,70,"37,588.84","5,981.58","5,064.47"
313, CHEST PAIN,50006,ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,CA - Redding,11,"28,014.00","4,392.00","3,468.72"
313, CHEST PAIN,50007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,CA - San Mateo County,13,"27,270.76","4,574.92","3,137.23"
313, CHEST PAIN,50009,QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,CA - Napa,25,"38,306.00","4,580.00","3,492.20"
313, CHEST PAIN,50013,ST HELENA HOSPITAL,10 WOODLAND ROAD,SAINT HELENA,CA,94574,CA - Napa,24,"18,430.75","5,158.91","3,904.33"
313, CHEST PAIN,50017,MERCY GENERAL HOSPITAL,4001 J ST,SACRAMENTO,CA,95819,CA - Sacramento,31,"36,153.70","4,880.03","3,571.54"
313, CHEST PAIN,50022,RIVERSIDE COMMUNITY HOSPITAL,4445 MAGNOLIA AVENUE,RIVERSIDE,CA,92501,CA - San Bernardino,98,"39,190.61","5,026.46","3,668.11"
313, CHEST PAIN,50024,PARADISE VALLEY HOSPITAL,2400 EAST FOURTH STREET,NATIONAL CITY,CA,91950,CA - San Diego,43,"20,738.60","4,960.53","4,124.81"
313, CHEST PAIN,50025,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,CA - San Diego,25,"14,502.68","5,932.40","5,427.16"
313, CHEST PAIN,50026,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,CA,91942,CA - San Diego,54,"29,420.48","4,232.40","3,379.37"
313, CHEST PAIN,50028,MAD RIVER COMMUNITY HOSPITAL,3800 JANES RD,ARCATA,CA,95521,CA - Redding,13,"15,769.23","4,125.92","2,771.69"
313, CHEST PAIN,50030,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,CA,95966,CA - Chico,111,"18,574.02","4,206.21","3,487.12"
313, CHEST PAIN,50036,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH ST BOX 1888,BAKERSFIELD,CA,93301,CA - Bakersfield,67,"24,943.71","4,388.79","3,198.00"
313, CHEST PAIN,50038,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,95128,CA - San Jose,24,"23,206.66","7,946.75","7,298.41"
313, CHEST PAIN,50039,ENLOE MEDICAL CENTER,1531 ESPLANADE,CHICO,CA,95926,CA - Chico,33,"27,594.96","3,769.93","3,030.63"
313, CHEST PAIN,50040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE,SYLMAR,CA,91342,CA - Los Angeles,18,"13,159.50","7,433.38","6,684.05"
